program,target_language,condition,cached,source_cyclomatic,source_loops,source_branches,source_functions,executable,output_match,translated_chars,extracted,translation_cyclomatic,translation_loops,translation_branches,translation_functions,cyclomatic_delta,loop_delta,branch_delta,function_delta
bubble_sort,go,anchored,True,7,3,2,2,True,True,623,True,7,3,2,2,0,0,0,0
bubble_sort,go,plain,True,7,3,2,2,True,True,623,True,7,3,2,2,0,0,0,0
collatz_steps,javascript,anchored,True,5,2,2,2,True,True,359,True,5,2,2,2,0,0,0,0
collatz_steps,javascript,plain,True,5,2,2,2,True,True,359,True,5,2,2,2,0,0,0,0
collatz_steps,java,anchored,True,5,2,2,2,True,True,495,True,5,2,2,2,0,0,0,0
collatz_steps,java,plain,True,5,2,2,2,True,True,493,True,5,2,2,2,0,0,0,0
collatz_steps,cpp,anchored,True,5,2,2,2,True,True,379,True,4,2,2,2,1,0,0,0
collatz_steps,cpp,plain,True,5,2,2,2,True,True,379,True,4,2,2,2,1,0,0,0
collatz_steps,go,anchored,True,5,2,2,2,True,True,283,True,4,2,2,2,1,0,0,0
collatz_steps,go,plain,True,5,2,2,2,True,True,281,True,4,2,2,2,1,0,0,0
fibonacci_memo,javascript,anchored,True,5,1,2,2,True,True,339,True,5,1,2,2,0,0,0,0
fibonacci_memo,javascript,plain,True,5,1,2,2,True,True,339,True,5,1,2,2,0,0,0,0
fibonacci_memo,java,anchored,True,5,1,2,2,True,True,579,True,5,1,2,2,0,0,0,0
fibonacci_memo,java,plain,True,5,1,2,2,True,True,579,True,5,1,2,2,0,0,0,0
fibonacci_memo,cpp,anchored,True,5,1,2,2,True,True,505,True,5,1,2,2,0,0,0,0
fibonacci_memo,cpp,plain,True,5,1,2,2,True,True,460,True,5,1,2,2,0,0,0,0
fibonacci_memo,go,anchored,True,5,1,2,2,True,True,316,True,5,1,2,2,0,0,0,0
fibonacci_memo,go,plain,True,5,1,2,2,True,True,328,True,5,1,2,2,0,0,0,0
fizzbuzz,javascript,anchored,True,6,1,4,2,True,True,333,True,6,1,4,2,0,0,0,0
fizzbuzz,javascript,plain,True,6,1,4,2,True,True,331,True,6,1,4,2,0,0,0,0
fizzbuzz,java,anchored,True,6,1,4,2,True,True,459,True,6,1,4,2,0,0,0,0
fizzbuzz,java,plain,True,6,1,4,2,True,True,460,True,6,1,4,2,0,0,0,0
fizzbuzz,cpp,anchored,True,6,1,4,2,True,True,390,True,6,1,4,2,0,0,0,0
fizzbuzz,cpp,plain,True,6,1,4,2,True,True,390,True,6,1,4,2,0,0,0,0
fizzbuzz,go,anchored,True,6,1,4,2,True,True,299,True,6,1,4,2,0,0,0,0
fizzbuzz,go,plain,True,6,1,4,2,True,True,299,True,6,1,4,2,0,0,0,0
gcd_lcm,javascript,anchored,True,6,2,1,3,True,True,429,True,6,2,1,3,0,0,0,0
gcd_lcm,javascript,plain,True,6,2,1,3,True,True,429,True,6,2,1,3,0,0,0,0
gcd_lcm,java,anchored,True,6,2,1,3,True,True,615,True,6,2,1,3,0,0,0,0
gcd_lcm,java,plain,True,6,2,1,3,True,True,672,True,6,2,1,3,0,0,0,0
gcd_lcm,cpp,anchored,True,6,2,1,3,True,True,509,True,6,2,1,3,0,0,0,0
gcd_lcm,cpp,plain,True,6,2,1,3,True,True,561,True,6,2,1,3,0,0,0,0
gcd_lcm,go,anchored,True,6,2,1,3,True,True,397,True,6,2,1,3,0,0,0,0
gcd_lcm,go,plain,True,6,2,1,3,True,True,421,True,6,2,1,3,0,0,0,0
matrix_multiply,javascript,anchored,True,7,5,0,2,True,True,783,True,7,5,0,2,0,0,0,0
matrix_multiply,javascript,plain,True,7,5,0,2,True,True,785,True,7,5,0,2,0,0,0,0
matrix_multiply,java,anchored,True,7,5,0,2,True,True,933,True,7,5,0,2,0,0,0,0
matrix_multiply,java,plain,True,7,5,0,2,True,True,932,True,7,5,0,2,0,0,0,0
matrix_multiply,cpp,anchored,True,7,5,0,2,True,True,1343,True,8,5,2,2,1,0,2,0
matrix_multiply,cpp,plain,True,7,5,0,2,True,True,1339,True,8,5,2,2,1,0,2,0
matrix_multiply,go,anchored,True,7,5,0,2,True,True,676,True,7,5,0,2,0,0,0,0
matrix_multiply,go,plain,True,7,5,0,2,True,True,676,True,7,5,0,2,0,0,0,0
prime_sieve,javascript,anchored,True,10,5,3,2,True,True,767,True,10,5,3,2,0,0,0,0
prime_sieve,javascript,plain,True,10,5,3,2,True,True,767,True,10,5,3,2,0,0,0,0
prime_sieve,java,anchored,True,10,5,3,2,True,True,1081,True,10,5,3,2,0,0,0,0
prime_sieve,java,plain,True,10,5,3,2,True,True,1081,True,10,5,3,2,0,0,0,0
prime_sieve,cpp,anchored,True,10,5,3,2,True,True,1142,True,11,5,5,2,1,0,2,0
prime_sieve,cpp,plain,True,10,5,3,2,True,True,1176,True,12,5,6,2,2,0,3,0
prime_sieve,go,anchored,True,10,5,3,2,True,True,644,True,10,5,3,2,0,0,0,0
prime_sieve,go,plain,True,10,5,3,2,True,True,644,True,10,5,3,2,0,0,0,0
run_length_encode,javascript,anchored,True,6,2,3,2,True,True,618,True,6,2,3,2,0,0,0,0
run_length_encode,javascript,plain,True,6,2,3,2,True,True,618,True,6,2,3,2,0,0,0,0
run_length_encode,java,anchored,True,6,2,3,2,True,True,805,True,5,2,3,2,1,0,0,0
run_length_encode,java,plain,True,6,2,3,2,True,True,830,True,6,2,3,2,0,0,0,0
run_length_encode,cpp,anchored,True,6,2,3,2,True,True,791,True,6,2,3,2,0,0,0,0
run_length_encode,cpp,plain,True,6,2,3,2,True,True,785,True,6,2,3,2,0,0,0,0
run_length_encode,go,anchored,True,6,2,3,2,True,True,547,True,5,2,3,2,1,0,0,0
run_length_encode,go,plain,True,6,2,3,2,True,True,547,True,5,2,3,2,1,0,0,0
two_sum,javascript,anchored,True,5,2,2,2,True,True,596,True,5,2,2,2,0,0,0,0
two_sum,javascript,plain,True,5,2,2,2,True,True,580,True,5,2,2,2,0,0,0,0
two_sum,java,anchored,True,5,2,2,2,True,True,1115,True,8,2,2,5,3,0,0,3
two_sum,java,plain,True,5,2,2,2,True,True,964,True,5,2,2,2,0,0,0,0
two_sum,cpp,anchored,True,5,2,2,2,True,True,914,True,5,2,2,2,0,0,0,0
two_sum,cpp,plain,True,5,2,2,2,True,True,930,True,5,2,2,2,0,0,0,0
two_sum,go,anchored,True,5,2,2,2,True,True,549,True,5,2,2,2,0,0,0,0
two_sum,go,plain,True,5,2,2,2,True,True,555,True,5,2,2,2,0,0,0,0
word_frequency,javascript,anchored,True,9,2,8,2,True,True,912,True,9,2,8,2,0,0,0,0
word_frequency,javascript,plain,True,9,2,8,2,True,True,958,True,9,2,8,2,0,0,0,0
word_frequency,java,anchored,True,9,2,8,2,True,True,1413,True,2,2,8,1,7,0,0,1
word_frequency,java,plain,True,9,2,8,2,True,True,1413,True,2,2,8,1,7,0,0,1
word_frequency,cpp,anchored,True,9,2,8,2,True,True,1288,True,3,3,8,1,6,1,0,1
word_frequency,cpp,plain,True,9,2,8,2,True,True,1288,True,3,3,8,1,6,1,0,1
word_frequency,go,anchored,True,9,2,8,2,True,True,822,True,10,3,8,2,1,1,0,0
word_frequency,go,plain,True,9,2,8,2,True,True,819,True,10,3,8,2,1,1,0,0
