program,target_language,condition,cached,source_cyclomatic,source_loops,source_branches,source_functions,executable,output_match,translated_chars,extracted,translation_cyclomatic,translation_loops,translation_branches,translation_functions,cyclomatic_delta,loop_delta,branch_delta,function_delta
fibonacci_memo,javascript,anchored,True,5,1,2,2,True,True,335,True,5,1,2,2,0,0,0,0
fibonacci_memo,javascript,plain,True,5,1,2,2,True,True,335,True,5,1,2,2,0,0,0,0
fibonacci_memo,java,anchored,True,5,1,2,2,True,True,578,True,5,1,2,2,0,0,0,0
fibonacci_memo,java,plain,True,5,1,2,2,True,True,574,True,5,1,2,2,0,0,0,0
fibonacci_memo,cpp,anchored,True,5,1,2,2,True,True,523,True,6,1,2,3,1,0,0,1
fibonacci_memo,cpp,plain,True,5,1,2,2,True,True,541,True,6,1,2,3,1,0,0,1
fibonacci_memo,go,anchored,True,5,1,2,2,True,True,325,True,5,1,2,2,0,0,0,0
fibonacci_memo,go,plain,True,5,1,2,2,True,True,328,True,5,1,2,2,0,0,0,0
fizzbuzz,javascript,anchored,True,6,1,4,2,True,True,332,True,6,1,4,2,0,0,0,0
fizzbuzz,javascript,plain,True,6,1,4,2,True,True,332,True,6,1,4,2,0,0,0,0
fizzbuzz,java,anchored,True,6,1,4,2,True,True,466,True,6,1,4,2,0,0,0,0
fizzbuzz,java,plain,True,6,1,4,2,True,True,464,True,6,1,4,2,0,0,0,0
fizzbuzz,cpp,anchored,True,6,1,4,2,False,False,426,True,7,1,4,3,1,0,0,1
fizzbuzz,cpp,plain,True,6,1,4,2,True,True,435,True,7,1,4,3,1,0,0,1
fizzbuzz,go,anchored,True,6,1,4,2,True,True,299,True,6,1,4,2,0,0,0,0
fizzbuzz,go,plain,True,6,1,4,2,True,True,300,True,6,1,4,2,0,0,0,0
gcd_lcm,javascript,anchored,True,6,2,1,3,True,True,429,True,6,2,1,3,0,0,0,0
gcd_lcm,javascript,plain,True,6,2,1,3,True,True,429,True,6,2,1,3,0,0,0,0
gcd_lcm,java,anchored,True,6,2,1,3,True,True,686,True,6,2,1,3,0,0,0,0
gcd_lcm,java,plain,True,6,2,1,3,True,True,661,True,6,2,1,3,0,0,0,0
gcd_lcm,cpp,anchored,True,6,2,1,3,True,True,653,True,7,2,1,4,1,0,0,1
gcd_lcm,cpp,plain,True,6,2,1,3,True,True,653,True,7,2,1,4,1,0,0,1
gcd_lcm,go,anchored,True,6,2,1,3,True,True,439,True,6,2,1,3,0,0,0,0
gcd_lcm,go,plain,True,6,2,1,3,True,True,408,True,6,2,1,3,0,0,0,0
matrix_multiply,javascript,anchored,True,7,5,0,2,True,True,855,True,7,5,0,2,0,0,0,0
matrix_multiply,javascript,plain,True,7,5,0,2,True,True,783,True,7,5,0,2,0,0,0,0
matrix_multiply,java,anchored,True,7,5,0,2,True,True,1615,True,7,5,0,2,0,0,0,0
matrix_multiply,java,plain,True,7,5,0,2,True,True,1365,True,7,5,0,2,0,0,0,0
matrix_multiply,cpp,anchored,True,7,5,0,2,False,False,1278,True,9,5,2,3,2,0,2,1
matrix_multiply,cpp,plain,True,7,5,0,2,True,True,1282,True,9,5,1,3,2,0,1,1
matrix_multiply,go,anchored,True,7,5,0,2,True,True,678,True,7,5,0,2,0,0,0,0
matrix_multiply,go,plain,True,7,5,0,2,True,True,678,True,7,5,0,2,0,0,0,0
prime_sieve,javascript,anchored,True,10,5,3,2,True,True,765,True,10,5,3,2,0,0,0,0
prime_sieve,javascript,plain,True,10,5,3,2,True,True,765,True,10,5,3,2,0,0,0,0
prime_sieve,java,anchored,True,10,5,3,2,True,True,1117,True,10,5,3,2,0,0,0,0
prime_sieve,java,plain,True,10,5,3,2,True,True,1101,True,10,5,3,2,0,0,0,0
prime_sieve,cpp,anchored,True,10,5,3,2,True,True,1177,True,12,5,5,3,2,0,2,1
prime_sieve,cpp,plain,True,10,5,3,2,True,True,1086,True,12,5,4,3,2,0,1,1
prime_sieve,go,anchored,True,10,5,3,2,True,True,640,True,10,5,3,2,0,0,0,0
prime_sieve,go,plain,True,10,5,3,2,True,True,661,True,11,5,4,2,1,0,1,0
run_length_encode,javascript,anchored,True,6,2,3,2,True,True,689,True,6,2,3,2,0,0,0,0
run_length_encode,javascript,plain,True,6,2,3,2,True,True,645,True,6,2,3,2,0,0,0,0
run_length_encode,java,anchored,True,6,2,3,2,True,True,869,True,6,2,3,2,0,0,0,0
run_length_encode,java,plain,True,6,2,3,2,True,True,864,True,6,2,3,2,0,0,0,0
run_length_encode,cpp,anchored,True,6,2,3,2,True,True,837,True,7,2,3,3,1,0,0,1
run_length_encode,cpp,plain,True,6,2,3,2,True,True,837,True,7,2,3,3,1,0,0,1
run_length_encode,go,anchored,True,6,2,3,2,True,True,575,True,6,2,3,2,0,0,0,0
run_length_encode,go,plain,True,6,2,3,2,True,True,585,True,6,2,3,2,0,0,0,0
two_sum,javascript,anchored,True,5,2,2,2,True,True,655,True,5,2,2,2,0,0,0,0
two_sum,javascript,plain,True,5,2,2,2,True,True,592,True,5,2,2,2,0,0,0,0
two_sum,java,anchored,True,5,2,2,2,True,True,982,True,5,2,2,2,0,0,0,0
two_sum,java,plain,True,5,2,2,2,True,True,968,True,5,2,2,2,0,0,0,0
two_sum,cpp,anchored,True,5,2,2,2,True,True,984,True,6,2,2,3,1,0,0,1
two_sum,cpp,plain,True,5,2,2,2,True,True,968,True,6,2,2,3,1,0,0,1
two_sum,go,anchored,True,5,2,2,2,True,True,574,True,5,2,2,2,0,0,0,0
two_sum,go,plain,True,5,2,2,2,True,True,555,True,5,2,2,2,0,0,0,0
word_frequency,javascript,anchored,True,9,2,8,2,True,True,958,True,9,2,8,2,0,0,0,0
word_frequency,javascript,plain,True,9,2,8,2,True,True,958,True,9,2,8,2,0,0,0,0
word_frequency,java,anchored,True,9,2,8,2,True,True,1453,True,2,2,8,1,7,0,0,1
word_frequency,java,plain,True,9,2,8,2,True,True,1416,True,2,2,8,1,7,0,0,1
word_frequency,cpp,anchored,True,9,2,8,2,True,True,1293,True,4,3,8,2,5,1,0,0
word_frequency,cpp,plain,True,9,2,8,2,True,True,1348,True,4,3,8,2,5,1,0,0
word_frequency,go,anchored,True,9,2,8,2,True,True,850,True,10,3,8,2,1,1,0,0
word_frequency,go,plain,True,9,2,8,2,True,True,812,True,10,3,8,2,1,1,0,0
